date,country,suspected_cases,confirmed_cases,deaths,recoveries,source_url,case_fatality_rate_pct
2015-11-12,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-12,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-12,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-12,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-12,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-11,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-11,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-11,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-11,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-10,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-10,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,Sierra Leone,5131,14122,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-10,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-10,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-06,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-06,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,Sierra Leone,5118,14109,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-06,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-06,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,Guinea,1,3805,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-11-05,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-05,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,Sierra Leone,5113,14104,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.47
2015-11-05,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-05,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,Guinea,6,3810,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.89
2015-11-03,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-11-03,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,Sierra Leone,5098,14089,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-11-03,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-11-03,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,Guinea,5,3808,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.9
2015-10-30,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-10-30,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,Sierra Leone,5076,14067,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-10-30,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-30,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,Guinea,5,3808,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.9
2015-10-29,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-10-29,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,Sierra Leone,5075,14066,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-10-29,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-29,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,Guinea,3,3806,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.9
2015-10-27,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-10-27,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,Sierra Leone,5070,14061,208,0,https://data.humdata.org/dataset/ebola-cases-2014,1.48
2015-10-27,Spain,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,USA,0,4,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-27,United Kingdom,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,Guinea,1,3804,453,0,https://data.humdata.org/dataset/ebola-cases-2014,11.91
2015-10-26,Italy,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,Liberia,5636,10666,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,Mali,0,8,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
2015-10-26,Nigeria,0,20,1,0,https://data.humdata.org/dataset/ebola-cases-2014,5
2015-10-26,Senegal,0,1,0,0,https://data.humdata.org/dataset/ebola-cases-2014,0
